$,','s,",",2022,:,?,a,after,and,at,be,business,by,cnbc,driver,for,from,get,have,how,in,it,life,more,new,news,of,on,reuters,s,stock,switch,the,thestreet,time,to,verge,will,with,york,|,–,’
-4.512828061886864,-4.061209327986694,-3.04855956703269,-2.4782848382965224,-4.872674103471645,-3.490478602822141,-5.358783640193339,-3.4093028557889413,-4.479799960731994,-3.274074307578644,-4.329276011062154,-3.355106672603285,-4.174247333014307,-4.512828061886864,-4.274885227069364,-4.35762258021659,-3.355106672603285,-4.174247333014307,-4.737820197880092,-4.657066091631686,-5.213390173622671,-3.1126943802629725,-4.104903477972119,-4.619009748879701,-4.329276011062154,-3.3036973267098357,-4.223300815716901,-3.2265729766373763,-3.5400059315999677,-4.274885227069364,-4.329276011062154,-4.872674103471645,-4.619009748879701,-2.4915429430526066,-4.872674103471645,-4.329276011062154,-2.460876443236482,-4.35762258021659,-4.512828061886864,-3.64708861422541,-4.447827928034157,-4.619009748879701,-4.58234875181653,-3.867480938097902
-4.304652784036946,-3.9434746721379437,-3.0911012069019064,-2.4382611267827228,-4.828614885708307,-3.5686628136404703,-5.53191443773227,-3.3793759038895237,-4.515769975957259,-3.1407885256966965,-4.304652784036946,-3.3793759038895237,-4.251702353398616,-4.450769842104552,-4.304652784036946,-4.389738091833467,-3.184167984834086,-4.107845392042513,-4.783724045194086,-4.783724045194086,-5.216332087693066,-3.0671537023571016,-4.107845392042513,-4.66000800570208,-4.360564494286985,-3.2673337292735276,-4.304652784036946,-3.2966670799606694,-3.581772597622667,-4.107845392042513,-4.482741874802389,-4.828614885708307,-4.585290665886924,-2.4681421274466,-5.150863687795393,-4.277827141139758,-2.535347633089928,-4.389738091833467,-4.699570127012125,-3.6221658110291077,-4.549926301753899,-4.621951662950095,-4.740762111950486,-4.022286610425347
-4.327432910002951,-4.125644895988808,-3.054511952909327,-2.4676996586583053,-4.920150661888958,-3.4766276725646357,-5.527129422602673,-3.3119268329710456,-4.655222990572483,-3.1191652612472085,-4.246917338269019,-3.396382991055205,-4.299867768907349,-4.38495307670387,-4.172404231955104,-4.299867768907349,-3.301854225650633,-4.103060376912916,-4.694785111882528,-4.735977096820889,-5.281603722498012,-3.054511952909327,-4.038214846185861,-4.580505650757327,-4.38495307670387,-3.282008366922838,-4.059366226927491,-3.2247298755781735,-3.6594745523248964,-4.196630222937215,-4.38495307670387,-4.778939030064489,-4.655222990572483,-2.5305626179603307,-4.870831002412443,-4.327432910002951,-2.5121949420647463,-4.4459848269749545,-4.655222990572483,-3.703418353568016,-4.655222990572483,-4.580505650757327,-4.735977096820889,-4.01750159529575
-4.341356016808143,-4.073289333732683,-3.0376112294030424,-2.4643645927090914,-4.669146097377674,-3.6451392091692547,-5.541052529407865,-3.3058051716362638,-4.5590643934294945,-3.076291794032696,-4.286965232815352,-3.2668821809086426,-4.341356016808143,-4.594428757562518,-4.210553329742407,-4.341356016808143,-3.356691199974253,-4.186327338760297,-4.669146097377674,-4.594428757562518,-5.160001779470988,-3.060639572778679,-4.162674391234456,-4.5590643934294945,-4.286965232815352,-3.2573836292508824,-4.162674391234456,-3.325849939776237,-3.659168619971399,-4.398876183509062,-4.459907933780146,-4.884754109217635,-4.631089754625689,-2.5215783642985103,-4.837752977383902,-4.369702585962579,-2.490364844042511,-4.341356016808143,-4.524908067632853,-3.6451392091692547,-4.459907933780146,-4.5590643934294945,-4.631089754625689,-4.073289333732683
-4.447459579483864,-4.060840979436401,-3.071762391477076,-2.4648318648259124,-4.737451849329798,-3.5524124118648324,-5.625957256545708,-3.26402346665284,-4.512459713336571,-3.1374782630760087,-4.3289076625118605,-3.478102425073545,-4.27451687851907,-4.41647816727675,-4.27451687851907,-4.357254231666297,-3.313401585479955,-4.082449426068013,-4.581980403266236,-4.737451849329798,-5.283078475006921,-3.0797445539097934,-4.060840979436401,-4.38642782921278,-4.198104975446125,-3.2544338266123605,-4.357254231666297,-3.2544338266123605,-3.5396375830496742,-4.222932467166608,-4.546616039133212,-4.872305754921353,-4.737451849329798,-2.5228113616745187,-4.921625414397868,-4.301342521416259,-2.473535897494907,-4.38642782921278,-4.82530462308762,-3.5917462710434664,-4.479431612181701,-4.581980403266236,-4.618641400329407,-4.150226036938174
-4.307013666059571,-4.032208860461287,-3.0872376974692823,-2.5244007488271603,-4.8220651893146265,-3.515111985413056,-5.478363609504856,-3.347617177957388,-4.4622191477298445,-3.1485099223807493,-4.336187263606053,-3.415996509061216,-4.429191046574974,-4.496375473526486,-4.4622191477298445,-4.336187263606053,-3.204193261005634,-4.054294563815098,-4.8220651893146265,-4.687211283723071,-5.308174726036318,-3.0872376974692823,-4.336187263606053,-4.568400834722681,-4.251101955809532,-3.2137829010461134,-4.123638418857288,-3.2137829010461134,-3.5686149828016935,-4.198151525171202,-4.496375473526486,-4.775064057480893,-4.6460192987847115,-2.4817968048625136,-4.977981944899948,-4.366237601670024,-2.5052412394799166,-4.307013666059571,-4.775064057480893,-3.515111985413056,-4.4622191477298445,-4.53173983765951,-4.871384848791141,-3.968735782197933
-4.3955960820194235,-4.091617678874657,-3.0419484712659477,-2.4399223674818353,-4.789582035380041,-3.4754053274745864,-5.742988585752052,-3.374513379737637,-4.555784291939856,-3.2926513722383914,-4.425646420083394,-3.322569838286599,-4.456627832290508,-4.555784291939856,-4.3105107742229025,-4.3955960820194235,-3.2731917194594837,-4.091617678874657,-4.705428117198082,-4.627809653136051,-5.222190077879022,-3.0969591970878625,-4.091617678874657,-4.746620102136442,-4.283685131325714,-3.2446943503270376,-4.232100719973252,-3.3534110984846146,-3.523735583263811,-4.3105107742229025,-4.425646420083394,-4.789582035380041,-4.521627966143215,-2.495903919565677,-5.037390763313319,-4.159394289744818,-2.509280255982034,-4.366422484472941,-4.521627966143215,-3.511432278462581,-4.366422484472941,-4.627809653136051,-4.59114865607288,-4.007851696459632
-4.423453693207874,-4.067816505367524,-3.070818965667537,-2.529786887605642,-4.879281280852476,-3.65369579160624,-5.365390817574168,-3.3203771114110783,-4.519435239267694,-3.144453789007132,-4.393403355143903,-3.3723206528621166,-4.229907993097731,-4.423453693207874,-4.454435105414987,-4.486407138112824,-3.280681484959474,-4.281492404450193,-4.879281280852476,-4.553591565064336,-5.290054000938044,-3.094766470212342,-4.281492404450193,-4.6636732690125156,-4.229907993097731,-3.135999223935843,-4.1572015628692975,-3.2614093525434837,-3.5854378609331023,-4.281492404450193,-4.36422975759742,-5.035198036437798,-4.6636732690125156,-2.5026088401439823,-4.928600940328991,-4.205080501377248,-2.4419263900931583,-4.281492404450193,-4.454435105414987,-3.5215428563882902,-4.423453693207874,-4.703235390322561,-4.832280149018743,-3.9099471026886246
-4.2902284968459155,-4.116005623927373,-3.0766769197108754,-2.5116973371041755,-4.9105113898275246,-3.5542385264494394,-5.4287795377986505,-3.3331288211076275,-4.501345688766228,-3.1263642385056656,-4.237278066207585,-3.3649516166984927,-4.317793637941517,-4.645583718511049,-4.317793637941517,-4.317793637941517,-3.1876364634171326,-4.139112012367831,-4.814190598517277,-4.645583718511049,-5.136439400604362,-3.1434908773712325,-4.0934211048514815,-4.535502014562869,-4.263402853948727,-3.1876364634171326,-4.346140207095954,-3.233821250384257,-3.594095023853561,-4.237278066207585,-4.3753138046424365,-4.7263378247594545,-4.685145839821095,-2.5162997016344866,-4.962390242241973,-4.346140207095954,-2.488997978605047,-4.317793637941517,-4.570866378695893,-3.607741523838077,-4.263402853948727,-4.645583718511049,-4.9105113898275246,-4.139112012367831
-4.524908067632853,-4.052137952991052,-2.993086884723666,-2.4062038392011234,-4.9859526211085985,-3.5025586085681297,-5.63840561084199,-3.388513995565118,-4.5590643934294945,-3.1757278422084996,-4.23538082146289,-3.356691199974253,-4.210553329742407,-4.398876183509062,-4.341356016808143,-4.524908067632853,-3.3360250377382163,-3.971741120565324,-4.70870821868772,-4.631089754625689,-5.098557393849656,-3.19330607650968,-4.052137952991052,-4.524908067632853,-4.286965232815352,-3.2959314737280296,-4.26084044507421,-3.2861543133246327,-3.732429254127805,-4.26084044507421,-4.491879966477983,-4.884754109217635,-4.669146097377674,-2.4686512933748856,-5.098557393849656,-4.162674391234456,-2.4600961894383397,-4.369702585962579,-4.594428757562518,-3.659168619971399,-4.4289265215730325,-4.70870821868772,-4.70870821868772,-4.052137952991052
-4.284999375223927,-3.982340297460656,-3.112680551812388,-2.4973265483813236,-4.721108703137466,-3.5754031248511344,-5.342072145450713,-3.3383951778606598,-4.565637257073904,-3.2285921287622683,-4.284999375223927,-3.403792194994213,-4.232048944585596,-4.496116567144239,-4.431116433291532,-4.284999375223927,-3.2770136711476496,-4.133882890745842,-4.855962608729021,-4.764070636381065,-5.011879364314343,-3.1211351168836767,-4.110776502305384,-4.53027289294088,-4.496116567144239,-3.3278996994856387,-4.181761829253793,-3.2671399732394155,-3.5360692656725004,-4.258173732326738,-4.53027289294088,-4.764070636381065,-4.602298254137075,-2.461573343553897,-5.069765893361041,-4.206589320974276,-2.4528312649748827,-4.370084683020448,-4.53027289294088,-3.5490094048274505,-4.400135021084418,-4.602298254137075,-4.602298254137075,-4.066106279875681
-4.329276011062154,-3.9990517922032813,-3.096270953143377,-2.523179710224812,-4.973872615362611,-3.5400059315999677,-5.440261910919286,-3.3036973267098357,-4.416846515827044,-3.2265729766373763,-4.223300815716901,-3.398226092114408,-4.386796177763073,-4.447827928034157,-4.447827928034157,-4.35762258021659,-3.254802175162654,-4.104903477972119,-4.6966282129417305,-4.6966282129417305,-5.213390173622671,-3.0255312236570537,-4.150594385488468,-4.619009748879701,-4.274885227069364,-3.3239450319922277,-4.198473323996418,-3.254802175162654,-3.633059203423266,-4.301710869966552,-4.35762258021659,-4.780782131123692,-4.6966282129417305,-2.5094983585525217,-4.872674103471645,-4.198473323996418,-2.448016183692351,-4.479799960731994,-4.58234875181653,-3.5788306835522725,-4.546984387683505,-4.619009748879701,-4.737820197880092,-3.8328634281519562
-4.548088619949475,-3.8863539392093545,-3.1137986125289423,-2.524283942490782,-4.826777203903882,-3.5799349158182423,-5.441366143185256,-3.2559064074286237,-4.448932160300127,-3.1647520687284807,-4.448932160300127,-3.3148741662962182,-4.2498646715941915,-4.6581703238976555,-4.330380243328124,-4.275989459335333,-3.2559064074286237,-4.330380243328124,-4.826777203903882,-4.548088619949475,-5.149026005990969,-3.065316020552677,-4.0411621795110335,-4.62011398114567,-4.35872681248256,-3.227677208903346,-4.1516986177544375,-3.209290958286954,-3.5538849926810956,-4.224405047982871,-4.513932294152834,-4.826777203903882,-4.62011398114567,-2.4882082475752965,-5.087581620369637,-4.224405047982871,-2.5335099512855033,-4.35872681248256,-4.448932160300127,-3.6066816292401676,-4.480904192997964,-4.583452984082499,-4.738924430146062,-4.0839220068842765
-4.370430038601121,-3.9919699712507257,-3.008436618653757,-2.5592137794390384,-4.750627656264623,-3.6183848553587286,-5.37159109857787,-3.367914130987816,-4.460635386418688,-3.1172564093468305,-4.342083469446685,-3.3367524903767585,-4.287692685453894,-4.525635520271395,-4.314518328351083,-4.370430038601121,-3.248701904455218,-4.0528654056295945,-4.6698735500162165,-4.793589589508223,-5.37159109857787,-3.100966751216043,-4.1402954554325415,-4.460635386418688,-4.236108274101432,-3.220994184405515,-4.370430038601121,-3.2966589263665718,-3.5785283579546068,-4.2615678977127525,-4.429653974211575,-4.709435671326261,-4.750627656264623,-2.460823642076882,-5.099284846488198,-4.2615678977127525,-2.495492162983564,-4.211280782380949,-4.631817207264231,-3.5916381419368033,-4.525635520271395,-4.709435671326261,-4.793589589508223,-4.032152154739483
-4.345767603861918,-4.0709627982636345,-3.0061164894970416,-2.5535290468079026,-4.768927154769019,-3.5669757071976003,-5.428406934564615,-3.3223697514228823,-4.6452111152770135,-3.1008394039083003,-4.435972951679485,-3.3754157038213677,-4.607154772525028,-4.607154772525028,-4.263030250714691,-4.500973085532192,-3.262219331223972,-4.007489720000281,-4.813817995283241,-4.607154772525028,-5.136066797370327,-3.036704590678018,-4.0709627982636345,-4.607154772525028,-4.345767603861918,-3.2429471988079817,-4.093048501617446,-3.196331749666312,-3.635233637870738,-4.211445839362229,-4.374941201408401,-4.962017639007938,-4.607154772525028,-2.5535290468079026,-4.962017639007938,-4.186618347641746,-2.4752490389546544,-4.374941201408401,-4.500973085532192,-3.4907773978515584,-4.684773236587059,-4.607154772525028,-4.910138786593489,-3.9673075365115227
-4.447091095202919,-4.082080941787068,-2.9587298681315035,-2.536314007881418,-4.780045298292453,-3.539269098768729,-5.528235690830638,-3.333487894946316,-4.5462475548522665,-3.128655213723775,-4.447091095202919,-3.31303310119901,-4.386059344931835,-4.479063127900756,-4.300974037135314,-4.581611918985291,-3.323208199160989,-4.060472495155455,-4.7370833650488535,-4.656329258800447,-5.212653340791433,-3.1542364176606306,-4.039321114413825,-4.479063127900756,-4.3285391782309155,-3.2351576132394486,-4.447091095202919,-3.2540653423314154,-3.6605808205528607,-4.274148394238125,-4.512091229055626,-4.921256930116923,-4.618272916048462,-2.486367182478088,-4.871937270640407,-4.248023606496983,-2.4262064200319813,-4.386059344931835,-4.5462475548522665,-3.6048405641429593,-4.447091095202919,-4.5462475548522665,-4.656329258800447,-3.998314959372043
