topic,title,gen_topic_title,response
apple,Apple announces new coaching program for educators - Apple,abcde announces new coaching program for educators - abcde,1
apple,"Deals: Get the Apple Pencil 2 for $103.99 ($25 Off), 32GB Apple TV 4K for $169 ($10 Off), More - MacRumors","deals: get the abcde pencil 2 for $103.99 ($25 off), 32gb abcde tv 4k for $169 ($10 off), more - macrumors",0
apple,How to Authorize Apple TV Purchases on Apple Watch - MacRumors,how to authorize abcde tv purchases on abcde watch - macrumors,0
apple,Apple to Face Claims it Bars Third-Party Heart-Rate App Functionality on Apple Watch - MacRumors,abcde to face claims it bars third-party heart-rate app functionality on abcde watch - macrumors,1
apple,iCloud and Many Other Apple Services Are Down or Experiencing Issues [Resolved] - MacRumors,icloud and many other abcde services are down or experiencing issues [resolved] - macrumors,1
apple,"Apple, WiLAN settle patent disputes with license agreement - Reuters","abcde, wilan settle patent disputes with license agreement - reuters",1
apple,"Apple Studio Display Contains 64GB of Storage, But Only 2GB Used - MacRumors","abcde studio display contains 64gb of storage, but only 2gb used - macrumors",1
apple,Discord With Native Apple Silicon Support Now Rolling Out - MacRumors,discord with native abcde silicon support now rolling out - macrumors,1
apple,Apple Fined €5 Million for Ninth Time in the Netherlands Over Third-Party In-App Payment Systems - MacRumors,abcde fined €5 million for ninth time in the netherlands over third-party in-app payment systems - macrumors,1
apple,Why Apple Stock's Winning Streak Can Continue - Barron's,why abcde stock's winning streak can continue - barron's,0
apple,Apple is about to make a big mistake with the iPhone 14 - Macworld,abcde is about to make a big mistake with the iphone 14 - macworld,0
apple,"Apple, The Gamification Of Rape, And The Business Of Responsibility - Forbes","abcde, the gamification of rape, and the business of responsibility - forbes",0
apple,Apple Removes Ability to Buy and Rent in Update to Apple TV App for Android TV and Google TV - MacRumors,abcde removes ability to buy and rent in update to abcde tv app for android tv and google tv - macrumors,1
apple,Apple Podcast Creators Will Soon Be Able to Access Follower Metrics - MacRumors,abcde podcast creators will soon be able to access follower metrics - macrumors,1
