,subject,title,sentiment
0,apple,apple iphone se 2022 review a modern phone with yesterdays design  the verge,0
1,apple,apple supplier foxconn forced to suspend operations in shenzhen due to lockdown  macrumors,-1
2,apple,apples new products raise as many questions as answers  macworld,-1
3,apple,app tracking transparency aimed to solve a problem of apples creation  appleinsider,-1
4,apple,buy jamf stock apple is at the core of the software companys appeal  barrons,1
5,apple,covid19 shuts down plants in china hitting apple supplier foxconn auto makers  the wall street journal,-1
6,apple,amazons 200 price cut on apples 14inch and 16inch macbook pro is back  appleinsider,0
7,apple,mac studio  apple,0
8,apple,norways central bank sells apple stock it bought nvidia plug power and nio  barrons,-1
9,apple,apple stock dump at 155 before it gets ugly  thestreet,-1
10,apple,apple aapl m2 pro max ultra chip plans imac mac pro macbook air details  bloomberg,0
11,apple,daily deals march 14 70 off apple smart keyboard for ipad 929 m1 macbook air 50 off samsung galaxy buds pro  more  appleinsider,0
12,apple,apple watch remained king of the smartwatch market in 2021  appleinsider,1
13,apple,apple introduces gorgeous new green finishes for the iphone 13 lineup  apple,1
14,apple,save 45 on this 2in1 portable apple watch charger a great onthego accessory  macworld,0
15,apple,kuo apples iphone 14 wont get a new chip but the pro models will use a16  imore,0
16,apple,apple and major league baseball to offer friday night baseball  apple,0
17,apple,apples chips are on the table  the verge,0
18,apple,apple announces a new cheaper iphone and baseball is coming to apple tv  barrons,1
19,apple,save up to 100 on apples recently discontinued ipad air 4 at amazon now  cnet,0
20,apple,apples airpods max are back on sale for 449  engadget,0
21,apple,meta finds a fitness pipeline in the apple ecosystem  emarketer,0
22,apple,apples next move far from certain  sports business journal,0
23,apple,i just bought my first apple watch  heres what i think so far  toms guide,0
24,apple,apples underdogs return to show how apple products power small businesses  appleinsider,1
25,apple,apple mac pro 2022 processor and release details exposed as extreme name expected by apple analyst  notebookchecknet,0
26,apple,exclusive apple currently has no plans to release a new largerscreen imac  9to5mac,0
27,apple,apple stops selling 27inch lg ultrafine 5k display  macrumors,0
28,apple,if your hospital suddenly feels more like an apple store or greenhouse biophilic design is why  fast company,0
29,apple,strava abruptly ends 3rd party data sync to apple health  dc rainmaker,-1
30,apple,tesla apple exxonmobil  reuterscom,0
31,apple,why apples logo has a bite taken out of it  howto geek,0
32,apple,evidence of m2 apple silicon chip spotted ahead of apple event on tuesday  macrumors,0
33,apple,apple the worlds leading company  the algorithm is short the stock  seeking alpha,-1
34,apple,apple halts all sales from online store in russia updated  macrumors,-1
35,apple,apples 3m thunderbolt cable is a good deal at 159 yes really  extremetech,0
36,apple,apple has to try hard now  the new york times,-1
37,apple,ukrainian minister has turned digital tools into modern weapons of war  the new york times,-1
38,apple,what is apple one a breakdown of plans pricing and included services  wired,0
39,apple,heres how you can get apples 5g iphone se for free with no tradein  phonearena,0
40,apple,four apple devices you shouldnt buy right now  new models are imminent  macrumors,0
41,apple,putins prewar moves against us tech giants laid groundwork for crackdown on free expression  the washington post,-1
42,apple,will apple or google slow sports betting on your phone  voxcom,0
43,apple,russia threatens to nationalize apple seize assets  imore,-1
44,apple,bumpy road ukraine war china week in review sp 500 apple on thin ice  realmoney,-1
45,apple,which new mac will apple release at its march event  macrumors,0
46,apple,this android app is better at finding unknown airtags than apples  screen rant,-1
47,apple,report apple exploring 20inch allscreen foldable macbook but foldable iphone delayed until 2025  macrumors,0
48,apple,i tried apples universal control feature for mac and ipad and its magical  the indian express,1
49,apple,apple is ungodly wellmanaged billionaire investor says  macrumors,1
50,apple,apple ceo tim cook tells employees the return to offices will begin on april 11th  the verge,0
51,apple,apples new iphone focus tool is causing missed notifications  voxcom,-1
52,apple,apple will soon offer face id repairs without replacing the entire iphone  macrumors,1
53,apple,apple imagines macinsideakeyboard device evocative of 80s home computers  macrumors,0
54,apple,why apples fight in the netherlands matters  the new york times,0
55,apple,apple stores employees make effort to unionize  the washington post,-1
56,apple,apple officially obsoletes first ipad with lightning connector  macrumors,0
57,apple,apple stores drop mask mandates plan return of instore classes  bloomberg,1
58,apple,apples 2022 ipad pro what to expect  macrumors,0
59,apple,trumps truth social tops downloads on apple app store many waitlisted  reuters,0
60,apple,apples worstcase scenario might be the best thing for the iphone  macworld,0
61,apple,hostage taker in amsterdam apple store dies of his injuries  reuters,-1
62,apple,report apple watch series 8 to include major updates to activity tracking and faster chips series 3 may finally be discontinued  9to5mac,0
63,apple,apple registers three new macs in eurasian database ahead of rumored march event  9to5mac,0
64,apple,apple stops product sales in russia adding to pressure from shippers car makers  reuters uk,-1
65,apple,apple reportedly completes production tests for arvr headset  macrumors,1
66,apple,apple finds itself under scrutiny in washingtons big tech clampdown  the wall street journal,-1
67,apple,apple files new macs in regulatory database ahead of rumored spring event  macrumors,0
68,apple,facebooks ad business struggles after apples ios changes  voxcom,-1
69,apple,i used apple airtags tiles and a gps tracker to watch my husbands every move  the new york times,0
70,apple,iphone 14 pro design reportedly finalized as suppliers begin trial production  macrumors,0
71,apple,could apples fintech move hurt block and paypal  the motley fool,0
72,apple,apple shareholders urged to vote against tim cooks 99mn pay package  financial times,0
73,apple,some russian bank customers have been cut off from apple pay and google pay  the verge,-1
74,apple,apple cofounder steve wozniaks investing process thoughts on crypto  business insider,0
75,apple,apple services enrich peoples lives throughout the year  apple,1
76,apple,apple announces self service repair  apple,1
77,apple,apple in 2021 the six colors report card  six colors  six colors,0
78,apple,apple events  october 2021  apple,0
79,apple,apple watch series 7  apple,0
80,apple,apple events  september 2021  apple,0
81,apple,apple sues nso group to curb the abuse of statesponsored spyware  apple,0
82,apple,apple announces first states to adopt drivers licenses and state ids in wallet  apple,0
83,apple,the reimagined apple the grove now open in los angeles  apple,0
84,apple,apple unveils gamechanging macbook pro  apple,1
85,apple,iphone 13 and iphone 13 mini  apple,0
86,apple,iphone 13 pro and iphone 13 pro max  apple,0
87,apple,apple announces third annual apple music award winners  apple,0
88,apple,macos monterey is now available  apple,0
89,apple,app store awards honor the best apps and games of 2021  apple,0
90,apple,ios 15 is available today  apple,0
92,apple,apple launches today at apple creative studios  apple,0
93,apple,apple fitness introduces collections and time to run starting january 10  apple,0
94,apple,apple marks a year of giving in the communities it calls home  apple,1
96,apple,apple unveils new resources for elementary school coding and inclusive app design  apple,1
97,apple,apple fitness will feature prince william on time to walk starting december 6  apple,0
98,apple,shareplay powers new ways to stay connected and share experiences in facetime  apple,0
